date,disease,state,district,taluk,latitude,longitude,outbreak_label,predicted_outbreak,outbreak_probability,outbreak_intensity,weight
2022-11-24,acute_diarrheal_disease,Kerala,Kannur,Kannur,11.8763836,75.3737973,0,0,0.0934324243772468,0.0,0.0
2023-11-18,acute_diarrheal_disease,Kerala,Kannur,Kannur,11.8763836,75.3737973,0,1,0.7299098226571117,0.0,0.0
2024-01-01,acute_diarrheal_disease,Kerala,Kannur,Kannur,11.8763836,75.3737973,1,1,0.740766984072226,0.0,0.0
2022-09-10,acute_diarrheal_disease,Kerala,Kannur,Payyanur,12.1,75.2,1,0,0.1160098917337822,0.0,0.0
2022-11-22,acute_diarrheal_disease,Kerala,Kannur,Payyanur,12.1,75.2,1,0,0.1131169858114977,0.9999999983333334,0.9999999983333334
2022-12-29,acute_diarrheal_disease,Kerala,Kannur,Payyanur,12.1,75.2,0,0,0.1039176735446584,0.0,0.0
2022-12-26,acute_diarrheal_disease,Kerala,Kannur,Taliparamba,12.0333,75.35,1,0,0.2049241347271905,0.0,0.0
2023-02-04,acute_diarrheal_disease,Kerala,Kannur,Taliparamba,12.0333,75.35,0,0,0.3332656010017559,0.0,0.0
2020-11-23,acute_diarrheal_disease,Kerala,Kannur,Thalassery,11.75,75.4833,1,1,0.7315312300176968,0.0,0.0
2022-02-04,acute_diarrheal_disease,Kerala,Kannur,Thalassery,11.75,75.4833,1,1,0.6667882100191745,0.0008356985543185,0.0008356985543185
2023-09-09,acute_diarrheal_disease,Kerala,Kannur,Thalassery,11.75,75.4833,1,0,0.0642679019617892,0.0047418086496215,0.0047418086496215
2024-10-14,acute_diarrheal_disease,Kerala,Kannur,Thalassery,11.75,75.4833,1,0,0.0940873500355728,0.0029715076017806,0.0029715076017806
2021-08-08,acute_diarrheal_disease,Kerala,Kasaragod,Hosdurg,12.3167,75.1,1,0,0.1044322880319512,0.0,0.0
2021-11-18,acute_diarrheal_disease,Kerala,Kasaragod,Hosdurg,12.3167,75.1,0,0,0.1159594847745767,0.0001239679835979,0.0001239679835979
2021-12-26,acute_diarrheal_disease,Kerala,Kasaragod,Hosdurg,12.3167,75.1,1,1,0.7419918290492271,0.0,0.0
