cluster_id,disease,date,state,district,taluk,latitude,longitude,outbreak_intensity
123,acute_diarrheal_disease,2023-01-02,Kerala,Kollam,Kunnathoor,9.0292,76.627,0.0
124,acute_diarrheal_disease,2023-01-03,Kerala,Malappuram,Nilambur,11.2833,76.2333,0.9999999983333334
125,acute_diarrheal_disease,2023-02-04,Kerala,Kozhikode,Kozhikode,11.2450558,75.7754716,0.0033862076159683
126,acute_diarrheal_disease,2023-02-05,Kerala,Pathanamthitta,Adoor,9.1667,76.7333,0.0
127,acute_diarrheal_disease,2023-02-05,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,0.0
128,acute_diarrheal_disease,2023-07-01,Kerala,Pathanamthitta,Konni,9.2667,76.9333,0.0
129,acute_diarrheal_disease,2023-07-06,Kerala,Kasaragod,Vellarikundu,12.4167,75.2333,0.0002447230883306
130,acute_diarrheal_disease,2023-07-06,Kerala,Palakkad,Chittur,10.7,76.75,0.0086486150656177
131,acute_diarrheal_disease,2023-07-07,Kerala,Kottayam,Kanjirappally,9.5667,76.7833,0.1666956105189485
132,acute_diarrheal_disease,2023-07-07,Kerala,Ernakulam,Kochi,9.9312,76.2673,6.365051909715011e-05
133,acute_diarrheal_disease,2023-07-07,Kerala,Alappuzha,Ambalappuzha,9.5006651,76.41241429,4.031199542819508e-05
134,acute_diarrheal_disease,2023-07-07,Kerala,Thiruvananthapuram,Varkala,8.7379,76.7163,0.0
135,acute_diarrheal_disease,2023-08-07,Kerala,Wayanad,Sulthan Bathery,11.6667,76.2667,0.0
136,acute_diarrheal_disease,2023-08-07,Kerala,Pathanamthitta,Mallappally,9.3833,76.6833,0.0
137,acute_diarrheal_disease,2023-08-08,Kerala,Ernakulam,Kunnathunad,10.1167,76.4833,4.031199542819508e-05
138,acute_diarrheal_disease,2023-08-08,Kerala,Alappuzha,Karthikappally,9.2833,76.4667,0.0047580470237954
139,acute_diarrheal_disease,2023-08-08,Kerala,Idukki,Peerumade,9.5667,76.9667,0.0
140,acute_diarrheal_disease,2023-08-08,Kerala,Alappuzha,Cherthala,9.6833,76.3333,0.0
141,acute_diarrheal_disease,2023-08-26,Kerala,Alappuzha,Cherthala,9.6833,76.3333,0.0002821839679973
141,acute_diarrheal_disease,2023-09-09,Kerala,Alappuzha,Kuttanad,9.5833,76.4167,0.0
142,acute_diarrheal_disease,2023-09-02,Kerala,Thiruvananthapuram,Kattakkada,8.5667,77.1,0.0
143,acute_diarrheal_disease,2023-09-09,Kerala,Kollam,Kunnathoor,9.0292,76.627,0.0302257012024685
144,acute_diarrheal_disease,2023-09-09,Kerala,Kollam,Punalur,9.0089,76.9269,0.0
145,acute_diarrheal_disease,2023-09-09,Kerala,Malappuram,Ponnani,10.7667,75.9167,0.5159404134643768
145,acute_diarrheal_disease,2023-09-11,Kerala,Malappuram,Tirur,10.9167,75.9167,0.0
146,acute_diarrheal_disease,2023-09-09,Kerala,Kozhikode,Thamarassery,11.2667,75.9333,0.0004856189216698
147,acute_diarrheal_disease,2023-09-09,Kerala,Kannur,Thalassery,11.75,75.4833,0.0047418086496215
148,acute_diarrheal_disease,2023-09-10,Kerala,Palakkad,Chittur,10.7,76.75,0.0
149,acute_diarrheal_disease,2023-09-11,Kerala,Thrissur,Mukundapuram,10.3333,76.2167,0.0
150,acute_diarrheal_disease,2023-09-11,Kerala,Pathanamthitta,Mallappally,9.3833,76.6833,0.0
151,acute_diarrheal_disease,2023-09-12,Kerala,Kottayam,Kottayam,9.6287383,76.64553257,0.0
152,acute_diarrheal_disease,2023-10-07,Kerala,Kozhikode,Vadakara,11.6,75.5833,0.0
153,acute_diarrheal_disease,2023-10-13,Kerala,Kottayam,Changanassery,9.45,76.5333,0.0
154,acute_diarrheal_disease,2023-10-14,Kerala,Thrissur,Kodungallur,10.2333,76.2,0.0
154,acute_diarrheal_disease,2023-10-14,Kerala,Thrissur,Kodungallur,10.2333,76.2,0.0
155,acute_diarrheal_disease,2023-10-14,Kerala,Thiruvananthapuram,Kattakkada,8.5667,77.1,0.0
156,acute_diarrheal_disease,2023-10-14,Kerala,Malappuram,Ponnani,10.7667,75.9167,0.0
156,acute_diarrheal_disease,2023-10-17,Kerala,Malappuram,Tirur,10.9167,75.9167,0.0
156,acute_diarrheal_disease,2023-10-18,Kerala,Thrissur,Chavakkad,10.5833,76.0167,0.0
157,acute_diarrheal_disease,2023-10-15,Kerala,Ernakulam,Kothamangalam,10.0667,76.6333,4.031199542819508e-05
158,acute_diarrheal_disease,2023-10-21,Kerala,Kollam,Kottarakkara,9.0002,76.7788,0.0003628079588537
159,acute_diarrheal_disease,2023-10-28,Kerala,Malappuram,Ernad,11.1201,76.1197,3.3198113882043e-05
160,acute_diarrheal_disease,2023-11-04,Kerala,Kasaragod,Nileshwaram,12.25,75.1,0.0019307277873476
161,acute_diarrheal_disease,2023-11-04,Kerala,Kozhikode,Vadakara,11.6,75.5833,1.7276569469226453e-05
162,acute_diarrheal_disease,2023-11-11,Kerala,Thrissur,Chalakudy,10.3,76.3333,0.0
162,acute_diarrheal_disease,2023-11-19,Kerala,Ernakulam,Aluva,10.1075,76.3516,0.0
162,acute_diarrheal_disease,2023-11-21,Kerala,Ernakulam,North Paravur,10.1333,76.2,0.0017468531352217
162,acute_diarrheal_disease,2023-12-02,Kerala,Thrissur,Chalakudy,10.3,76.3333,0.0
163,acute_diarrheal_disease,2023-11-18,Kerala,Palakkad,Ottapalam,10.7667,76.3667,0.0
